Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Clara County,2021,April,04/01/2021,60540000,"Professional, Scientific and Technical S",N,165100
County,Santa Clara County,2021,April,04/01/2021,65610000,Educational Services,N,44200
County,Santa Clara County,2021,April,04/01/2021,60000000,Professional and Business Services,N,238600
County,Santa Clara County,2021,April,04/01/2021,55530000,Real Estate and Rental and Leasing,N,14600
County,Santa Clara County,2021,April,04/01/2021,1000000,Total Wage and Salary,N,1074500
County,Santa Clara County,2021,April,04/01/2021,20000000,Construction,N,49700
County,Santa Clara County,2021,April,04/01/2021,31000000,Durable Goods,N,153900
County,Santa Clara County,2021,April,04/01/2021,0,Total Nonfarm,N,1071500
County,Santa Clara County,2021,April,04/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,April,04/01/2021,30000000,Manufacturing,N,164300
County,Santa Clara County,2021,April,04/01/2021,41000000,Wholesale Trade,N,28000
County,Santa Clara County,2021,April,04/01/2021,55520000,Finance and Insurance,N,23400
County,Santa Clara County,2021,April,04/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15200
County,Santa Clara County,2021,April,04/01/2021,60550000,Management of Companies and Enterprises,N,14200
County,Santa Clara County,2021,April,04/01/2021,90920000,State Government,N,6800
County,Santa Clara County,2021,May,05/01/2021,80000000,Other Services,N,22100
County,Santa Clara County,2021,May,05/01/2021,6000000,Goods Producing,N,214400
County,Santa Clara County,2021,May,05/01/2021,50000000,Information,N,105300
County,Santa Clara County,2021,May,05/01/2021,42000000,Retail Trade,N,72200
County,Santa Clara County,2021,May,05/01/2021,32000000,Nondurable Goods,N,10700
County,Santa Clara County,2021,May,05/01/2021,70000000,Leisure and Hospitality,N,75900
County,Santa Clara County,2021,May,05/01/2021,65620000,Health Care and Social Assistance,N,132200
County,Santa Clara County,2021,May,05/01/2021,60560000,Administrative and Support and Waste Ser,N,60000
County,Santa Clara County,2021,May,05/01/2021,65000000,Educational and Health Services,N,176800
County,Santa Clara County,2021,May,05/01/2021,90910000,Federal Government,N,10400
County,Santa Clara County,2021,May,05/01/2021,90930000,Local Government,N,73800
County,Santa Clara County,2021,May,05/01/2021,55000000,Financial Activities,N,38000
County,Santa Clara County,2021,May,05/01/2021,7000000,Service Providing,N,864200
County,Santa Clara County,2021,May,05/01/2021,11000000,Total Farm,N,3100
County,Santa Clara County,2021,May,05/01/2021,40000000,"Trade, Transportation and Utilities",N,115400
County,Santa Clara County,2021,May,05/01/2021,90000000,Government,N,91100
County,Santa Clara County,2021,May,05/01/2021,55530000,Real Estate and Rental and Leasing,N,14700
County,Santa Clara County,2021,May,05/01/2021,60000000,Professional and Business Services,N,239600
County,Santa Clara County,2021,May,05/01/2021,65610000,Educational Services,N,44600
County,Santa Clara County,2021,May,05/01/2021,60540000,"Professional, Scientific and Technical S",N,165400
County,Santa Clara County,2021,May,05/01/2021,31000000,Durable Goods,N,153600
County,Santa Clara County,2021,May,05/01/2021,20000000,Construction,N,49900
County,Santa Clara County,2021,May,05/01/2021,1000000,Total Wage and Salary,N,1081700
County,Santa Clara County,2021,May,05/01/2021,0,Total Nonfarm,N,1078600
County,Santa Clara County,2021,May,05/01/2021,30000000,Manufacturing,N,164300
County,Santa Clara County,2021,May,05/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,May,05/01/2021,41000000,Wholesale Trade,N,28000
County,Santa Clara County,2021,May,05/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15200
County,Santa Clara County,2021,May,05/01/2021,55520000,Finance and Insurance,N,23300
County,Santa Clara County,2021,May,05/01/2021,60550000,Management of Companies and Enterprises,N,14200
County,Santa Clara County,2021,May,05/01/2021,90920000,State Government,N,6900
County,Santa Clara County,2021,June,06/01/2021,80000000,Other Services,N,22600
County,Santa Clara County,2021,June,06/01/2021,6000000,Goods Producing,N,216100
County,Santa Clara County,2021,June,06/01/2021,32000000,Nondurable Goods,N,11000
County,Santa Clara County,2021,June,06/01/2021,42000000,Retail Trade,N,72500
County,Santa Clara County,2021,June,06/01/2021,50000000,Information,N,106600
County,Santa Clara County,2021,June,06/01/2021,65000000,Educational and Health Services,N,176100
County,Santa Clara County,2021,June,06/01/2021,70000000,Leisure and Hospitality,N,79500
County,Santa Clara County,2021,June,06/01/2021,60560000,Administrative and Support and Waste Ser,N,59700
County,Santa Clara County,2021,June,06/01/2021,65620000,Health Care and Social Assistance,N,132400
County,Santa Clara County,2021,June,06/01/2021,90910000,Federal Government,N,10400
County,Santa Clara County,2021,June,06/01/2021,90930000,Local Government,N,74200
County,Santa Clara County,2021,June,06/01/2021,7000000,Service Providing,N,869400
County,Santa Clara County,2021,June,06/01/2021,55000000,Financial Activities,N,38000
County,Santa Clara County,2021,June,06/01/2021,11000000,Total Farm,N,3100
County,Santa Clara County,2021,June,06/01/2021,40000000,"Trade, Transportation and Utilities",N,115400
County,Santa Clara County,2021,June,06/01/2021,90000000,Government,N,91400
County,Santa Clara County,2021,June,06/01/2021,60540000,"Professional, Scientific and Technical S",N,166100
County,Santa Clara County,2021,June,06/01/2021,65610000,Educational Services,N,43700
County,Santa Clara County,2021,June,06/01/2021,60000000,Professional and Business Services,N,239800
County,Santa Clara County,2021,June,06/01/2021,55530000,Real Estate and Rental and Leasing,N,14600
County,Santa Clara County,2021,June,06/01/2021,1000000,Total Wage and Salary,N,1088600
County,Santa Clara County,2021,June,06/01/2021,20000000,Construction,N,50200
County,Santa Clara County,2021,June,06/01/2021,31000000,Durable Goods,N,154700
County,Santa Clara County,2021,June,06/01/2021,0,Total Nonfarm,N,1085500
County,Santa Clara County,2021,June,06/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,June,06/01/2021,30000000,Manufacturing,N,165700
County,Santa Clara County,2021,June,06/01/2021,41000000,Wholesale Trade,N,27700
County,Santa Clara County,2021,June,06/01/2021,55520000,Finance and Insurance,N,23400
County,Santa Clara County,2021,June,06/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15200
County,Santa Clara County,2021,June,06/01/2021,60550000,Management of Companies and Enterprises,N,14000
County,Santa Clara County,2021,June,06/01/2021,90920000,State Government,N,6800
County,Santa Clara County,2021,July,07/01/2021,80000000,Other Services,N,23000
County,Santa Clara County,2021,July,07/01/2021,6000000,Goods Producing,N,218600
County,Santa Clara County,2021,July,07/01/2021,50000000,Information,N,107500
